2025-05-28 20:59:26.700 [info] Added views:workbench.panel.chat.view.copilot in workbench.panel.chat
2025-05-28 20:59:26.700 [info] Added views:outline in workbench.view.explorer
2025-05-28 20:59:26.700 [info] Added views:workbench.view.search in workbench.view.search
2025-05-28 20:59:26.700 [info] Added views:workbench.scm in workbench.view.scm
2025-05-28 20:59:26.700 [info] Added views:workbench.panel.markers.view in workbench.panel.markers
2025-05-28 20:59:26.700 [info] Added views:workbench.panel.output in workbench.panel.output
2025-05-28 20:59:26.700 [info] Added views:terminal in terminal
2025-05-28 20:59:26.700 [info] Added views:timeline in workbench.view.explorer
2025-05-28 20:59:26.700 [info] Added views:workbench.explorer.fileView in workbench.view.explorer
2025-05-28 20:59:26.925 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.breakPointsView in workbench.view.debug
2025-05-28 20:59:27.066 [info] Added views:~remote.forwardedPorts in ~remote.forwardedPortsContainer
2025-05-28 20:59:27.216 [info] Added views:workbench.panel.repl.view in workbench.panel.repl
2025-05-28 20:59:27.216 [info] Removed views:workbench.debug.breakPointsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 20:59:27.217 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-28 20:59:49.808 [info] Added views:workbench.debug.breakPointsView in workbench.view.debug
2025-05-28 21:00:28.881 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-28 21:00:28.894 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2025-05-28 21:00:29.218 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 21:00:29.227 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-28 21:00:34.599 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-28 21:00:34.609 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2025-05-28 21:00:34.884 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 21:00:34.894 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-28 21:00:34.897 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-28 21:00:34.907 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2025-05-28 21:00:34.926 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 21:00:34.934 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-28 21:00:39.633 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-28 21:00:39.642 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2025-05-28 21:00:39.873 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 21:00:39.884 [info] Added views:workbench.debug.welcome in workbench.view.debug
2025-05-28 21:00:39.889 [info] Removed views:workbench.debug.welcome from workbench.view.debug
2025-05-28 21:00:39.902 [info] Added views:workbench.debug.variablesView,workbench.debug.watchExpressionsView,workbench.debug.callStackView,workbench.debug.loadedScriptsView in workbench.view.debug
2025-05-28 21:00:39.927 [info] Removed views:workbench.debug.loadedScriptsView,workbench.debug.callStackView,workbench.debug.watchExpressionsView,workbench.debug.variablesView from workbench.view.debug
2025-05-28 21:00:39.936 [info] Added views:workbench.debug.welcome in workbench.view.debug
